trait_id	name	study	doi	unit	catalog_num_values	raw_row_n	finite_row_n	unique_accession_n	finite_unique_accession_n	panel_intersection_n	finite_panel_intersection_n	duplicate_accession_n	max_rows_per_accession	group_counts	values_sha256	retrieval_status
36	8W GH LN	Atwell et. al, Nature 2010	10.21958/phenotype:36	count unit	163	163	163	163	163	105	105	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 22, ""germany"": 19, ""north_sweden"": 9, ""relict"": 1, ""south_sweden"": 15, ""spain"": 6, ""western_europe"": 16}"	08bcafdcbf04484da9fef373889eebae7bf5f3eff6c1f0b39c57ef7080b86ab6	ok
37	0W	Atwell et. al, Nature 2010	10.21958/phenotype:37	day	137	137	137	137	137	92	92	0	1	"{""admixed"": 8, ""asia"": 6, ""central_europe"": 20, ""germany"": 14, ""north_sweden"": 8, ""relict"": 1, ""south_sweden"": 15, ""spain"": 6, ""western_europe"": 14}"	dacb9e3abf7bb36ae0fee552a435dc7fa986a00623f9a02ef9ba427a27454829	ok
38	MT GH	Atwell et. al, Nature 2010	10.21958/phenotype:38	day	147	147	147	147	147	92	92	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 22, ""germany"": 17, ""relict"": 1, ""south_sweden"": 12, ""spain"": 7, ""western_europe"": 16}"	263520a29f4e5d992c251c454727f981cf3cc378d5c98e890d4e5b2c3c9de453	ok
39	After Vern Growth	Atwell et. al, Nature 2010	10.21958/phenotype:39	ratio	110	110	110	110	110	69	69	0	1	"{""admixed"": 7, ""asia"": 5, ""central_europe"": 11, ""germany"": 15, ""north_sweden"": 9, ""relict"": 1, ""south_sweden"": 1, ""spain"": 5, ""western_europe"": 15}"	535218490fc486b63f64254a1fa93db4e1a385a2c93b441c4b01a0e7deb60b22	ok
40	Aphid number	Atwell et. al, Nature 2010	10.21958/phenotype:40	count unit	94	94	94	94	94	63	63	0	1	"{""admixed"": 6, ""asia"": 4, ""central_europe"": 11, ""germany"": 12, ""north_sweden"": 10, ""relict"": 1, ""south_sweden"": 1, ""spain"": 4, ""western_europe"": 14}"	fd1e5c0ceaaa94921ca14e106e84636ff04f2aa08256c151092dcc971b0aa369	ok
41	LN22	Atwell et. al, Nature 2010	10.21958/phenotype:41	count unit	176	176	176	176	176	118	118	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 22, ""germany"": 19, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 21, ""spain"": 7, ""western_europe"": 17}"	e051dd8a9c78820500fe72f9bd69e4ab2880fb79b14e1367e9dd9374ab772ce8	ok
42	Bs CFU2	Atwell et. al, Nature 2010	10.21958/phenotype:42	colony forming unit	175	175	175	175	175	119	119	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 21, ""germany"": 20, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 22, ""spain"": 7, ""western_europe"": 17}"	2850e40553e43d9a65bcc18efc24b823c6601c7b4b675d8080e6a81067cbe57d	ok
43	avrRpt2	Atwell et. al, Nature 2010	10.21958/phenotype:43	dimensionless unit	89	89	89	89	89	62	62	0	1	"{""admixed"": 6, ""asia"": 4, ""central_europe"": 11, ""germany"": 13, ""north_sweden"": 10, ""relict"": 1, ""south_sweden"": 1, ""spain"": 3, ""western_europe"": 13}"	9212ea2f490395ac45b769238237dd5a7405e60b3b29519d394e480bbfc7f9dd	ok
44	Hypocotyl length	Atwell et. al, Nature 2010	10.21958/phenotype:44	centimeter	89	89	89	89	89	61	61	0	1	"{""admixed"": 6, ""asia"": 4, ""central_europe"": 11, ""germany"": 12, ""north_sweden"": 9, ""relict"": 1, ""spain"": 4, ""western_europe"": 14}"	eb14daa0b92a0b7f16461f61fda360ac41939d942e11bf044c7b7acda6c2403a	ok
45	Germ 22	Atwell et. al, Nature 2010	10.21958/phenotype:45	day	177	177	177	177	177	119	119	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 22, ""germany"": 19, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 22, ""spain"": 7, ""western_europe"": 17}"	2691fa0c94a4b9dc00d535c18b791a03f7bae8569a46a7371fa6adaefdb29d31	ok
46	Leaf roll 22	Atwell et. al, Nature 2010	10.21958/phenotype:46	dimensionless unit	176	176	176	176	176	118	118	0	1	"{""admixed"": 11, ""asia"": 6, ""central_europe"": 22, ""germany"": 19, ""north_sweden"": 14, ""relict"": 1, ""south_sweden"": 21, ""spain"": 7, ""western_europe"": 17}"	a815e9d608dc74678f7a8c2347f81c14652c441c271ebf41c93465c619fd6a46	ok
47	SD	Atwell et. al, Nature 2010	10.21958/phenotype:47	day	162	162	162	162	162	107	107	0	1	"{""admixed"": 10, ""asia"": 5, ""central_europe"": 21, ""germany"": 16, ""north_sweden"": 13, ""relict"": 1, ""south_sweden"": 18, ""spain"": 7, ""western_europe"": 16}"	6e43dea63eae42bccf206339aa31cdbb425a6ed4fae33b575ec20899f0ae9bbd	ok
48	8W	Atwell et. al, Nature 2010	10.21958/phenotype:48	day	155	155	155	155	155	106	106	0	1	"{""admixed"": 10, ""asia"": 6, ""central_europe"": 21, ""germany"": 17, ""north_sweden"": 12, ""relict"": 1, ""south_sweden"": 19, ""spain"": 6, ""western_europe"": 14}"	8f0fdfd243240c3ebcb02b932b64967db126e04188ddb34d5577d5049cb42a50	ok
49	FT GH	Atwell et. al, Nature 2010	10.21958/phenotype:49	day	166	166	166	166	166	109	109	0	1	"{""admixed"": 12, ""asia"": 6, ""central_europe"": 22, ""germany"": 18, ""north_sweden"": 9, ""relict"": 1, ""south_sweden"": 17, ""spain"": 7, ""western_europe"": 17}"	22e933456ba417abad68fee327e89569596a0954285e432d5ae9b6504a5ef061	ok
50	DSDS50	Atwell et. al, Nature 2010	10.21958/phenotype:50	day	109	109	109	109	109	68	68	0	1	"{""admixed"": 7, ""asia"": 5, ""central_europe"": 10, ""germany"": 15, ""north_sweden"": 9, ""relict"": 1, ""south_sweden"": 1, ""spain"": 5, ""western_europe"": 15}"	66fc0d89f38c84d92f46808d6727e8c3771e08140974fff13bceb84c30dd8f2e	ok
51	Ca43	Atwell et. al, Nature 2010	10.21958/phenotype:51	concentration unit	93	93	93	93	93	62	62	0	1	"{""admixed"": 6, ""asia"": 4, ""central_europe"": 11, ""germany"": 12, ""north_sweden"": 10, ""relict"": 1, ""south_sweden"": 1, ""spain"": 4, ""western_europe"": 13}"	18b716b4e516a6cb1e3d77feb665a088e58bc1794c836d6d3f2bceae6c935505	ok
