trait_id	trait_name	protocol	level	held_out	train_n	n_callrate95	n_MAF05_nonmonomorphic	n_COMMON	COMMON_10K_feasible	COMMON_50K_feasible	COMMON_250K_feasible	COMMON_1M_feasible
703	DTF1	logo	outer	relict	913	3760518	1697144	399595	True	True	True	False
703	DTF1	logo	outer	south_sweden	800	3562408	1701394	377809	True	True	True	False
703	DTF1	logo	outer	spain	834	3672592	1696221	388569	True	True	True	False
703	DTF1	logo	outer	western_europe	845	3824513	1721726	422429	True	True	True	False
704	RL	logo	outer	admixed	734	3674884	1697763	385473	True	True	True	False
704	RL	logo	outer	asia	787	3815557	1682947	401765	True	True	True	False
704	RL	logo	outer	central_europe	683	3782462	1716400	415475	True	True	True	False
704	RL	logo	outer	germany	774	3642456	1703503	383967	True	True	True	False
704	RL	logo	outer	italy_balkan_caucasus	766	3890534	1708175	423412	True	True	True	False
704	RL	logo	outer	north_sweden	826	3723124	1684946	386153	True	True	True	False
704	RL	logo	outer	relict	830	3724980	1679199	384133	True	True	True	False
704	RL	logo	outer	south_sweden	733	3500494	1680313	357120	True	True	True	False
704	RL	logo	outer	spain	757	3623209	1678540	370141	True	True	True	False
704	RL	logo	outer	western_europe	760	3809602	1703999	409009	True	True	True	False
705	CL	logo	outer	admixed	781	3737137	1707183	401672	True	True	True	False
705	CL	logo	outer	asia	839	3763883	1693083	400689	True	True	True	False
705	CL	logo	outer	central_europe	736	3729540	1726888	414519	True	True	True	False
705	CL	logo	outer	germany	827	3675415	1712751	396022	True	True	True	False
705	CL	logo	outer	italy_balkan_caucasus	812	3885240	1719087	430057	True	True	True	False
705	CL	logo	outer	north_sweden	866	3740851	1691743	392543	True	True	True	False
705	CL	logo	outer	relict	882	3765832	1688322	396523	True	True	True	False
705	CL	logo	outer	south_sweden	775	3477768	1691600	361002	True	True	True	False
705	CL	logo	outer	spain	804	3673130	1688332	384836	True	True	True	False
705	CL	logo	outer	western_europe	814	3755848	1713948	408214	True	True	True	False
748	stomata density	logo	outer	admixed	295	4571038	1740859	552318	True	True	True	False
748	stomata density	logo	outer	central_europe	307	4713320	1748011	591285	True	True	True	False
748	stomata density	logo	outer	germany	313	4509410	1741465	547032	True	True	True	False
748	stomata density	logo	outer	north_sweden	301	4574634	1725821	550716	True	True	True	False
748	stomata density	logo	outer	south_sweden	212	4260685	1718006	493254	True	True	True	False
748	stomata density	logo	outer	spain	240	4752252	1707756	576722	True	True	True	False
748	stomata density	logo	outer	western_europe	312	4592745	1743073	562253	True	True	True	False
